dft
376;-30893
377;-30820.7
378;-30748.7
379;-30677
380;-30605.8
381;-30534.9
382;-30464.4
383;-30394.2
384;-30324.5
385;-30255
386;-30186
387;-30117.3
388;-30048.9
389;-29980.9
390;-29913.2
391;-29845.9
392;-29778.9
393;-29712.3
394;-29646
395;-29580
396;-29514.3
397;-29449
398;-29384
399;-29319.4
400;-29255
401;-29191
402;-29127.3
403;-29063.9
404;-29000.8
405;-28938
406;-28875.5
407;-28813.4
408;-28751.5
409;-28689.9
410;-28628.7
411;-28567.7
412;-28507
413;-28446.6
414;-28386.5
415;-28326.7
416;-28267.2
417;-28207.9
418;-28149
419;-28090.3
420;-28031.9
421;-27973.7
422;-27915.9
423;-27858.3
424;-27801
425;-27743.9
426;-27687.1
427;-27630.6
428;-27574.3
429;-27518.3
430;-27462.6
431;-27407.1
432;-27351.9
433;-27296.9
434;-27242.2
435;-27187.7
436;-27133.5
437;-27079.5
438;-27025.7
439;-26972.2
440;-26919
441;-26865.9
442;-26813.2
443;-26760.6
444;-26708.3
445;-26656.2
446;-26604.4
447;-26552.8
448;-26501.4
449;-26450.2
450;-26399.3
451;-26348.5
452;-26298
453;-26247.8
454;-26197.7
455;-26147.9
456;-26098.3
457;-26048.9
458;-25999.7
459;-25950.7
460;-25901.9
461;-25853.4
462;-25805
463;-25756.9
464;-25708.9
465;-25661.2
466;-25613.6
467;-25566.3
468;-25519.2
469;-25472.2
470;-25425.5
471;-25379
472;-25332.6
473;-25286.5
474;-25240.5
475;-25194.7
476;-25149.2
477;-25103.8
478;-25058.6
479;-25013.6
480;-24968.7
481;-24924.1
482;-24879.6
483;-24835.3
484;-24791.2
485;-24747.3
486;-24703.6
487;-24660
488;-24616.6
489;-24573.4
490;-24530.4
491;-24487.5
492;-24444.8
493;-24402.3
494;-24360
495;-24317.8
496;-24275.8
497;-24233.9
498;-24192.2
499;-24150.7
500;-24109.4
501;-24068.2
502;-24027.1
503;-23986.3
504;-23945.6
505;-23905
506;-23864.6
507;-23824.4
508;-23784.3
509;-23744.4
510;-23704.6
511;-23665
512;-23625.6
513;-23586.3
514;-23547.1
515;-23508.1
516;-23469.2
517;-23430.5
518;-23392
519;-23353.5
520;-23315.3
521;-23277.1
522;-23239.2
523;-23201.3
524;-23163.6
525;-23126.1
526;-23088.7
527;-23051.4
528;-23014.3
529;-22977.3
530;-22940.4
531;-22903.7
532;-22867.1
533;-22830.6
534;-22794.3
535;-22758.1
536;-22722.1
537;-22686.2
538;-22650.4
539;-22614.7
540;-22579.2
541;-22543.8
542;-22508.6
543;-22473.4
544;-22438.4
545;-22403.5
546;-22368.8
547;-22334.1
548;-22299.6
549;-22265.2
550;-22231
551;-22196.8
552;-22162.8
553;-22128.9
554;-22095.1
555;-22061.5
556;-22027.9
557;-21994.5
558;-21961.2
559;-21928
560;-21895
561;-21862
562;-21829.2
563;-21796.5
564;-21763.9
565;-21731.4
566;-21699
567;-21666.7
568;-21634.6
569;-21602.5
570;-21570.6
571;-21538.8
572;-21507
573;-21475.4
574;-21443.9
575;-21412.5
576;-21381.3
577;-21350.1
578;-21319
579;-21288
580;-21257.2
581;-21226.4
582;-21195.8
583;-21165.2
584;-21134.8
585;-21104.4
586;-21074.2
587;-21044.1
588;-21014
589;-20984.1
590;-20954.2
591;-20924.5
592;-20894.8
593;-20865.3
594;-20835.9
595;-20806.5
596;-20777.3
597;-20748.1
598;-20719
599;-20690.1
600;-20661.2
601;-20632.4
602;-20603.7
603;-20575.2
604;-20546.7
605;-20518.2
606;-20489.9
607;-20461.7
608;-20433.6
609;-20405.5
610;-20377.6
611;-20349.7
612;-20322
613;-20294.3
614;-20266.7
615;-20239.2
616;-20211.8
617;-20184.4
618;-20157.2
619;-20130
620;-20103
621;-20076
